Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
1.5590055565190588,0.9878476581756275,0.007014592598666087,-0.0017271901942137909,0.023087847508640607,-2.238291505829488,-1.0502287907120222
1.5590391604950282,0.9878484315162136,0.006939248746871462,-0.0017624501265482038,0.022938663243488363,-2.245951525512721,-1.0483133329672258
1.5590723788619492,0.9878491910334706,0.0068645144443737136,-0.0017972406842802662,0.022789866996549724,-2.253646111379544,-1.0463292643509952
1.559105218703154,0.987849937015404,0.006790378492578688,-0.001831568505296891,0.022641425839748503,-2.2613748919436456,-1.0442755297434008
1.5591376869794003,0.9878506697426077,0.006716829858011917,-0.001865440100793506,0.02249330705868709,-2.2691374817160312,-1.0421510633979805
1.5591697905502067,0.9878513894888834,0.006643857626004409,-0.001898861876789992,0.022345478057996776,-2.27693348539271,-1.039954787566749
1.5592015361471812,0.9878520965207731,0.00657145106314056,-0.0019318401055748678,0.02219790648589952,-2.284762490536879,-1.0376856142829114
1.5592329304167294,0.9878527910986423,0.006499599521964722,-0.001964380969373683,0.022050560039170556,-2.2926240771046302,-1.0353424423905768
1.5592639798833443,0.9878534734759833,0.00642829252644646,-0.0019964905214129706,0.021903406635263495,-2.3005178075460395,-1.0329241601122081
1.5592946909675116,0.987854143899936,0.006357519733174503,-0.0020281747038129335,0.02175641433237619,-2.308443230208276,-1.0304296438427936
1.5593250699908054,0.9878548026115147,0.0062872709214434105,-0.002059439352084484,0.02160955130734935,-2.3163998797122396,-1.0278577577416013
1.5593551231727416,0.9878554498456502,0.006217536002320138,-0.002090290191124888,0.021462785873070392,-2.324387275184018,-1.0252073539999467
1.559384856619768,0.9878560858310654,0.006148305046269163,-0.0021207328232496292,0.02131608653636873,-2.3324049162206877,-1.022477273955289
1.5594142763555268,0.9878567107910319,0.006079568214779663,-0.00215077275852581,0.02116942185314181,-2.3404522899115405,-1.019666345481955
1.5594433882937115,0.9878573249428907,0.006011315825418621,-0.0021804153862586793,0.021022760565434097,-2.3485288624697036,-1.0167733855642231
1.5594721982499842,0.9878579284984114,0.005943538326209076,-0.002209665986576336,0.02087607154780318,-2.3566340812380315,-1.013797199432665
1.5595007119507147,0.9878585216640714,0.005876226277013228,-0.0022385297386325045,0.020729323767074263,-2.3647673760035284,-1.010736579830241
1.5595289350173485,0.9878591046408257,0.005809370388387351,-0.0022670117041239577,0.020582486367372414,-2.3729281533649784,-1.0075903088873723
1.5595568729885092,0.9878596776246588,0.005742961471413732,-0.0022951168490396986,0.02043552856164509,-2.3811158018102434,-1.0043571560027724
1.559584531305749,0.9878602408063777,0.005676990473370143,-0.002322850028630854,0.020288419710745527,-2.3893296863892317,-1.0010358796661485
1.5596119152996206,0.9878607943714237,0.005611448513391537,-0.0023502159730183344,0.020141129406576287,-2.3975691430946156,-0.9976252296760832
1.5596390302233918,0.9878613385006463,0.005546326804268838,-0.0023772193205017465,0.019993627300697103,-2.4058334874760354,-0.9941239435599779
1.5596658812416084,0.98786187337015,0.005481616681642463,-0.0024038646054862322,0.01984588317131014,-2.4141220099647285,-0.9905307482899051
1.5596924734157438,0.9878623991510932,0.005417309640882022,-0.0024301562438122353,0.019697867011655233,-2.4224339699615287,-0.9868443627974518
1.5597188117188647,0.9878629160100652,0.005353397304210659,-0.0024560985469805536,0.01954954896065471,-2.4307685987792254,-0.9830634967579218
1.559744901039659,0.9878634241092424,0.005289871413114312,-0.0024816957256841576,0.01940089928993598,-2.43912509944875,-0.9791868506431396
1.5597707461675057,0.9878639236061758,0.005226723867000519,-0.0025069518748088125,0.019251888500194374,-2.447502640390449,-0.9752131187006549
1.559796351786268,0.9878644146537561,0.0051639467412548275,-0.002531870967312608,0.019102487373669038,-2.4559003515742273,-0.9711409910876718
1.559821722516999,0.9878648974011117,0.005101532185131545,-0.002556456895632024,0.018952666740066244,-2.4643173368209244,-0.9669691481496409
1.5598468628631188,0.9878653719926334,0.0050394725587154104,-0.002580713418185798,0.01880239781198104,-2.472752654126737,-0.9626962702534392
1.559871777240691,0.9878658385686337,0.004977760361565008,-0.0026046441888942264,0.018651652027368508,-2.4812053237464067,-0.9583210343730282
1.5598964699656235,0.9878662972651837,0.0049163882671298285,-0.0026282527449070863,0.018500401145770336,-2.4896743220756945,-0.9538421177244654
1.5599209452751632,0.9878667482145874,0.004855349072203857,-0.002651542527304929,0.01834861713784056,-2.4981585871770435,-0.9492581954522461
1.5599452072937918,0.9878671915448264,0.004794635784709055,-0.0026745168487698665,0.01819627241779708,-2.5066570051811614,-0.944567948596884
1.5599692600491741,0.987867627379937,0.004734241587384444,-0.0026971789093360155,0.018043339773274845,-2.5151684137377015,-0.9397700633077791
1.5599931074685471,0.987868055840024,0.004674159850079192,-0.0027195317935046967,0.0178897924162563,-2.5236915987846245,-0.9348632337189986
1.5600167533808866,0.9878684770413783,0.004614384127653415,-0.00274157847293852,0.017735603999705637,-2.5322252933416465,-0.9298461638789196
1.5600402015009527,0.9878688910962748,0.004554908203864541,-0.002763321792438613,0.017580748755517097,-2.540768169729575,-0.9247175737879503
1.5600634554563573,0.9878692981135354,0.004495726026441554,-0.0027847644960909642,0.017425201352984167,-2.5493188473831454,-0.9194761964091699
1.5600865187524715,0.9878696981979918,0.004436831799819359,-0.002805909195859839,0.01726893716936865,-2.5578758780785344,-0.9141207884176942
1.5601093947720994,0.9878700914505775,0.004378219990492642,-0.0028267583730217927,0.017111932340760673,-2.566437743583273,-0.9086501341452498
